# frame_time_relative,frame_time_epoch,pkts,ploss,porder,pdups,bytes_last_interval,bitrate_last_interval,pkts_padding,frame_time_relative_mean,frame_time_relative_stdev,clock_mean,frame_time_relative_list,rtp_seq_list,rtp_timestamp_list
1.482134,1634064560.866181,51,0,0,0,11030,88240,0,0.019942999999999995,0.004856208742109264,31127.774134077557,1.482134 1.496929 1.51617 1.536325 1.555967 1.58283 1.596062 1.620735 1.636976 1.658755 1.686673 1.696983 1.718071 1.740214 1.754135 1.778786 1.794761 1.814383 1.840446 1.857639 1.876565 1.899691 1.916176 1.939189 1.957279 1.980793 1.997073 2.020926 2.035019 2.057318 2.076255 2.097124 2.129216 2.139078 2.155217 2.177018 2.194725 2.216025 2.238895 2.254158 2.282295 2.298341 2.320085 2.336147 2.360255 2.376586 2.395765 2.423964 2.434939 2.456596 2.479284,21608 21609 21610 21611 21612 21613 21614 21615 21616 21617 21618 21619 21620 21621 21622 21623 21624 21625 21626 21627 21628 21629 21630 21631 21632 21633 21634 21635 21636 21637 21638 21639 21640 21641 21642 21643 21644 21645 21646 21647 21648 21649 21650 21651 21652 21653 21654 21655 21656 21657 21658,3200 3520 4160 4800 5440 6080 6720 7360 8000 8640 9280 9920 10560 11200 11840 12480 13120 13760 14400 15040 15680 16320 16960 17600 18240 18880 19520 20160 20800 21440 22080 22720 23360 24000 24640 25280 25920 26560 27200 27840 28480 29120 29760 30400 31040 31680 32320 32960 33600 34240 34880
2.4821340000000003,1634064561.866181,50,0,0,0,12038,96304,0,0.02004673469387755,0.005966756704775171,31479.43647238782,2.496645 2.520288 2.539178 2.581449 2.584791 2.599509 2.620732 2.634641 2.662386 2.678117 2.695278 2.71907 2.737524 2.7547 2.781095 2.797469 2.817637 2.836791 2.856349 2.880055 2.899807 2.91778 2.936236 2.959732 2.975054 2.997562 3.018422 3.03523 3.06973 3.078717 3.095705 3.12156 3.137617 3.156234 3.176113 3.199873 3.220456 3.236873 3.258459 3.284069 3.29456 3.318028 3.335358 3.359107 3.377375 3.394564 3.419469 3.438186 3.459729 3.478935,21659 21660 21661 21662 21663 21664 21665 21666 21667 21668 21669 21670 21671 21672 21673 21674 21675 21676 21677 21678 21679 21680 21681 21682 21683 21684 21685 21686 21687 21688 21689 21690 21691 21692 21693 21694 21695 21696 21697 21698 21699 21700 21701 21702 21703 21704 21705 21706 21707 21708,35520 36160 36800 37440 38080 38720 39360 40000 40640 41280 41920 42560 43200 43840 44480 45120 45760 46400 47040 47680 48320 48960 49600 50240 50880 51520 52160 52800 53440 54080 54720 55360 56000 56640 57280 57920 58560 59200 59840 60480 61120 61760 62400 63040 63680 64320 64960 65600 66240 66880
3.4821340000000003,1634064562.866181,48,2,0,0,13540,108320,0,0.02093097872340425,0.010020676705191692,31385.23995408677,3.49514 3.515905 3.54165 3.564709 3.574779 3.601204 3.617251 3.636613 3.663359 3.676794 3.696187 3.718629 3.739762 3.755791 3.779099 3.794197 3.815425 3.840819 3.856921 3.881341 3.898038 3.930028 3.944316 3.963671 3.974732 4.001386 4.035216 4.039225 4.062844 4.082014 4.096852 4.117706 4.155328 4.158872 4.184017 4.20839 4.215251 4.270994 4.271247 4.29872 4.320595 4.347623 4.362351 4.408743 4.41743 4.435949 4.454786 4.478896,21709 21710 21711 21712 21713 21714 21715 21716 21717 21718 21719 21720 21721 21722 21723 21724 21725 21726 21727 21728 21729 21730 21731 21732 21733 21734 21735 21736 21737 21738 21739 21740 21741 21742 21743 21744 21745 21746 21747 21749 21750 21751 21752 21754 21755 21756 21757 21758,67520 68160 68800 69440 70080 70720 71360 72000 72640 73280 73920 74560 75200 75840 76480 77120 77760 78400 79040 79680 80320 80960 81600 82240 82880 83520 84160 84800 85440 86080 86720 87360 88000 88640 89280 89920 90560 91200 91840 93120 93760 94400 95040 96320 96960 97600 98240 98880
4.482134,1634064563.866181,36,2,0,0,5217,41736,0,0.021033457142857134,0.02350001046350563,31522.026892897244,4.502246 4.51779 4.539909 4.555039 4.702304 4.702322 4.702339 4.702524 4.702817 4.720619 4.737292 4.756649 4.780563 4.798827 4.816034 4.839677 4.858076 4.87652 4.903252 4.918316 4.936144 4.971202 4.977354 5.003375 5.020715 5.034329 5.065935 5.077274 5.101492 5.116901 5.139591 5.155389 5.177043 5.202891 5.216672 5.238417,21759 21760 21761 21762 21764 21765 21767 21768 21769 21770 21771 21772 21773 21774 21775 21776 21777 21778 21779 21780 21781 21782 21783 21784 21785 21786 21787 21788 21789 21790 21791 21792 21793 21794 21795 21796,99520 100160 100800 101440 102720 103360 104640 105280 105920 106560 107200 107840 108480 109120 109760 110400 111040 111680 112320 112960 113600 114240 114880 115520 116160 116800 117440 118080 118720 119360 120000 120640 121280 121920 122560 123200
5.482134,1634064564.866181,23,6,0,0,2861,22888,0,0.01990881818181817,0.009437545880740538,31657.022793427303,5.958385 5.978211 5.998756 6.019744 6.036311 6.056811 6.082424 6.094873 6.121245 6.142876 6.15584 6.180049 6.224799 6.228594 6.238343 6.260653 6.282082 6.300224 6.336229 6.338619 6.356781 6.38356 6.396379,21803 21804 21805 21806 21807 21808 21809 21810 21811 21812 21813 21814 21815 21816 21817 21818 21819 21820 21821 21822 21823 21824 21825,146240 146880 147520 148160 148800 149440 150080 150720 151360 152000 152640 153280 153920 154560 155200 155840 156480 157120 157760 158400 159040 159680 160320
6.482134,1634064565.866181,37,4,0,0,4993,39944,0,0.02044536111111111,0.02025683015415897,32680.031063383405,6.743885 6.755215 6.780127 6.809074 6.819453 6.842515 6.856412 6.883424 6.899811 6.926376 6.937398 6.966905 6.978001 7.004068 7.035615 7.058861 7.078428 7.095406 7.123222 7.137763 7.16129 7.175235 7.198228 7.218435 7.240538 7.266387 7.286377 7.298161 7.318695 7.336421 7.462571 7.46285 7.462868 7.46311 7.46345 7.463483 7.479918,21829 21830 21831 21832 21833 21834 21835 21836 21837 21838 21839 21840 21841 21842 21844 21845 21846 21847 21848 21849 21850 21851 21852 21853 21854 21855 21856 21857 21858 21859 21860 21861 21862 21863 21864 21865 21866,171200 171840 172480 173120 173760 174400 175040 175680 176320 176960 177600 178240 178880 179520 180800 181440 182080 182720 183360 184000 184640 185280 185920 186560 187200 187840 188480 189120 189760 190400 191040 191680 192320 192960 193600 194240 194880
7.482134,1634064566.866181,50,0,0,0,11641,93128,0,0.02003228571428572,0.01819844617222406,31651.83541786164,7.498257 7.515226 7.537086 7.566274 7.578716 7.6033 7.628068 7.636627 7.657798 7.683198 7.694 7.719714 7.741666 7.758255 7.77681 7.799422 7.815586 7.840416 7.864 7.877698 7.89869 7.914151 7.941369 7.96109 7.976499 8.002517 8.050228 8.050246 8.067559 8.081398 8.094504 8.125267 8.141775 8.156767 8.179564 8.200406 8.214977 8.236697 8.259139 8.282005 8.297637 8.316035 8.33611 8.464361 8.464422 8.465403 8.465701 8.46626 8.466278 8.479839,21867 21868 21869 21870 21871 21872 21873 21874 21875 21876 21877 21878 21879 21880 21881 21882 21883 21884 21885 21886 21887 21888 21889 21890 21891 21892 21893 21894 21895 21896 21897 21898 21899 21900 21901 21902 21903 21904 21905 21906 21907 21908 21909 21910 21911 21912 21913 21914 21915 21916,195520 196160 196800 197440 198080 198720 199360 200000 200640 201280 201920 202560 203200 203840 204480 205120 205760 206400 207040 207680 208320 208960 209600 210240 210880 211520 212160 212800 213440 214080 214720 215360 216000 216640 217280 217920 218560 219200 219840 220480 221120 221760 222400 223040 223680 224320 224960 225600 226240 226880
8.482134,1634064567.866181,49,1,0,0,11704,93632,0,0.02047158333333336,0.005997807084484652,31910.63115506706,8.498066 8.51581 8.53784 8.559285 8.575318 8.604111 8.636186 8.640677 8.658272 8.683175 8.698234 8.716517 8.741257 8.755071 8.780716 8.794701 8.81773 8.843303 8.860794 8.87768 8.900495 8.914735 8.937415 8.961977 8.975105 8.998234 9.020256 9.041651 9.058265 9.076936 9.104697 9.116633 9.139708 9.179067 9.203153 9.214781 9.240454 9.258056 9.282756 9.29705 9.314957 9.336515 9.363124 9.378332 9.396129 9.419487 9.439807 9.455551 9.480702,21917 21918 21919 21920 21921 21922 21923 21924 21925 21926 21927 21928 21929 21930 21931 21932 21933 21934 21935 21936 21937 21938 21939 21940 21941 21942 21943 21944 21945 21946 21947 21948 21949 21951 21952 21953 21954 21955 21956 21957 21958 21959 21960 21961 21962 21963 21964 21965 21966,227520 228160 228800 229440 230080 230720 231360 232000 232640 233280 233920 234560 235200 235840 236480 237120 237760 238400 239040 239680 240320 240960 241600 242240 242880 243520 244160 244800 245440 246080 246720 247360 248000 249280 249920 250560 251200 251840 252480 253120 253760 254400 255040 255680 256320 256960 257600 258240 258880
9.482134,1634064568.866181,50,0,0,0,10376,83008,0,0.020067877551020408,0.007064393444216878,31885.546533508892,9.498407 9.514586 9.539051 9.560723 9.582444 9.599858 9.620409 9.636688 9.660201 9.679966 9.694767 9.719889 9.741554 9.757495 9.782628 9.800206 9.818205 9.867579 9.894892 9.895152 9.900523 9.92132 9.93711 9.958697 9.985542 9.996714 10.023731 10.040796 10.055347 10.078323 10.100993 10.115588 10.139618 10.15693 10.182397 10.200577 10.214961 10.243307 10.254126 10.274961 10.301522 10.319907 10.33675 10.357178 10.382739 10.396996 10.420663 10.440189 10.456624 10.481733,21967 21968 21969 21970 21971 21972 21973 21974 21975 21976 21977 21978 21979 21980 21981 21982 21983 21984 21985 21986 21987 21988 21989 21990 21991 21992 21993 21994 21995 21996 21997 21998 21999 22000 22001 22002 22003 22004 22005 22006 22007 22008 22009 22010 22011 22012 22013 22014 22015 22016,259520 260160 260800 261440 262080 262720 263360 264000 264640 265280 265920 266560 267200 267840 268480 269120 269760 270400 271040 271680 272320 272960 273600 274240 274880 275520 276160 276800 277440 278080 278720 279360 280000 280640 281280 281920 282560 283200 283840 284480 285120 285760 286400 287040 287680 288320 288960 289600 290240 290880
10.482134,1634064569.866181,49,0,0,0,11717,93736,0,0.01995766666666665,0.007650379944210453,31842.232219130256,10.498533 10.517196 10.537478 10.560469 10.57434 10.609217 10.615894 10.637267 10.65811 10.678764 10.69946 10.718295 10.751285 10.755299 10.783881 10.800877 10.835989 10.841672 10.859937 10.875951 10.907147 10.921557 10.938275 10.959858 10.983548 10.997064 11.018613 11.048121 11.058393 11.08232 11.098769 11.117704 11.140536 11.154497 11.179203 11.202823 11.226409 11.244345 11.263791 11.298028 11.310381 11.326598 11.337372 11.372078 11.38742 11.397652 11.421203 11.445282 11.456501,22017 22018 22019 22020 22021 22022 22023 22024 22025 22026 22027 22028 22029 22030 22031 22032 22033 22034 22035 22036 22037 22038 22039 22040 22041 22042 22043 22044 22045 22046 22047 22048 22049 22050 22051 22052 22053 22054 22055 22056 22057 22058 22059 22060 22061 22062 22063 22064 22065,291520 292160 292800 293440 294080 294720 295360 296000 296640 297280 297920 298560 299200 299840 300480 301120 301760 302400 303040 303680 304320 304960 305600 306240 306880 307520 308160 308800 309440 310080 310720 311360 312000 312640 313280 313920 314560 315200 315840 316480 317120 317760 318400 319040 319680 320320 320960 321600 322240
